category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
attractions,Woburn Green,park,,,,,53.6967674,-2.6876194,,,,,,544398637,way,2026-03-06T09:52:37.365078
attractions,Fairfield Nature Reserve,nature_reserve,,,,,54.0410231,-2.8121182,,,,,,550473076,way,2026-03-06T09:52:37.365080
attractions,Sebastopol Cannon Memorial Park,park,,,,,53.752375,-2.6961179,,,,,,552420489,way,2026-03-06T09:52:37.365083
attractions,Vernons Sports & Leisure Park,park,,,,,53.7426752,-2.7021229,,,,,,553229389,way,2026-03-06T09:52:37.365085
attractions,Upper Farm Nature Reserve & Leisure Park,park,,,,,53.7471283,-2.7011056,,,,,,553232294,way,2026-03-06T09:52:37.365087
attractions,Much Hoole Vilage Hall & Leisure Park,park,,,,,53.7036603,-2.7993628,,,,,,553236629,way,2026-03-06T09:52:37.365088
attractions,Poulton Hall Park,park,,,,,54.0733525,-2.8605791,,,,,,553314081,way,2026-03-06T09:52:37.365090
attractions,Brunton House,castle,,"Scotforth Road, Lancaster, LA1 4TU",LA1 4TU,Lancaster,54.0360919,-2.7948343,,,,,,564741752,way,2026-03-06T09:52:37.365092
attractions,Cottage Museum,museum,,"15, Castle Hill, Lancaster, LA1 1YS",LA1 1YS,Lancaster,54.049594,-2.8040622,,https://visitlancaster.org.uk/museums/cottage-museum/,,,,569405731,way,2026-03-06T09:52:37.365094
attractions,Crescent Gallery,gallery,,"11, Princes Crescent",,,54.0785644,-2.8400055,,,,,,578205376,way,2026-03-06T09:52:37.365096
attractions,Bancroft Mill,museum,,,,,53.9110977,-2.1919498,,,,,,581289883,way,2026-03-06T09:52:37.365098
attractions,Middleton Nature Reserve,nature_reserve,,,,,54.0234198,-2.8967211,,,,,,581513828,way,2026-03-06T09:52:37.365100
attractions,Middleton Nature Reserve,nature_reserve,,,,,54.021797,-2.8886063,,,,,,581515399,way,2026-03-06T09:52:37.365104
attractions,Northumberland Street Gardens,park,,"Northumberland Street, Chorley",,Chorley,53.6503385,-2.6293545,,,,,,583913490,way,2026-03-06T09:52:37.365106
attractions,Great Harwood Community Space.,park,,,,,53.792826,-2.3909183,,,,,,584892024,way,2026-03-06T09:52:37.365108
attractions,Ribble Valley Live Steamers,attraction,,,,,53.866659,-2.4181042,,,,,,614303317,way,2026-03-06T09:52:37.365110
attractions,Helmshore Mills Textile Museum,museum,,"Holcombe Road, Rossendale, BB4 4NP",BB4 4NP,Rossendale,53.6896288,-2.3373419,,https://www.lancashire.gov.uk/leisure-and-culture/museums/helmshore-mills-textile-museum/,Fr-Su 12:00-16:00; PH off,,,620398274,way,2026-03-06T09:52:37.365112
attractions,Healey Dell Gallery & Studios,gallery,,,,,53.636047,-2.1840032,,,,,,630362088,way,2026-03-06T09:52:37.365114
